SAMPID	SMATSSCR	SMCENTER	SMPTHNTS	SMRIN	SMTS	SMTSD	SMTSISCH	SMNABTCH	SMNABTCHT	SMNABTCHD	SMGEBTCH	SMGEBTCHD	SMGEBTCHT	SME2MPRT	SMCHMPRS	SMNTRART	SMNUMGPS	SMMAPRT	SMEXNCRT	SM550NRM	SMGNSDTC	SMUNMPRT	SM350NRM	SMRDLGTH	SMMNCPB	SME1MMRT	SMSFLGTH	SMESTLBS	SMMPPD	SMNTERRT	SMRRNANM	SMRDTTL	SMVQCFL	SMMNCV	SMTRSCPT	SMMPPDPR	SMCGLGTH	SMGAPPCT	SMUNPDRD	SMNTRNRT	SMMPUNRT	SMEXPEFF	SMMPPDUN	SME2MMRT	SME2ANTI	SMALTALG	SME2SNSE	SMMFLGTH	SME1ANTI	SMSPLTRD	SMBSMMRT	SME1SNSE	SME1PCTS	SMRRNART	SME1MPRT	SMNUM5CD	SMDPMPRT	SME2PCTS
GTEX-N7MS-0007-SM-26GME		C1		8.2	Blood	Whole Blood	16-19 hours	BP-16653	RNA isolation_PAXgene Blood RNA (Manual)	05/17/2011			Tech Dev																																													
GTEX-N7MS-0007-SM-26GMV		C1		8.2	Blood	Whole Blood	16-19 hours	BP-16653	RNA isolation_PAXgene Blood RNA (Manual)	05/17/2011			Tech Dev																																													
GTEX-N7MS-0007-SM-2D43E		C1		8.2	Blood	Whole Blood	16-19 hours	BP-16653	RNA isolation_PAXgene Blood RNA (Manual)	05/17/2011	GTEx_96Affy3_Oct2011	11/24/2011	Affymetrix Expression																																													
GTEX-N7MS-0007-SM-2D7W1		C1		8.2	Blood	Whole Blood	16-19 hours	BP-16653	RNA isolation_PAXgene Blood RNA (Manual)	05/17/2011	LCSET-1010_1	10/30/2011	TrueSeq.v1	0.8102064	18627	0.9561959	713	0.8227025	0.85721666	0.2709832	18867	0.43649665	0.6734831	101	52.894917	0.0021608602	147	14823141	59438164	0.043633092	3000147	72247454	7291268	0.58237237	113946	28579659	50501	0.031005949	0	0.09897922	0.3591069	0.7052343	25944560	0.0027595344	12873925	17723089	13591648	194	13772179	18422595	0.0024556506	13504096	49.508575	0.04152599	0.83519864	852	0.5635033	51.355957
GTEX-N7MS-0009-SM-2BWY4		C1			Blood	Whole Blood	16-19 hours	BP-16657	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	05/17/2011	GTExHapMap_5M_Sept2011	10/18/2011	Illumina OMNI SNP Array																																													
GTEX-N7MS-0009-SM-2XK1D		C1			Blood	Whole Blood	16-19 hours	BP-16657	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	05/17/2011	GTEx_96Exome_May12	06/06/2012	Illumina Human Exome SNP Array																																													
GTEX-N7MS-0011-R10A-SM-2HMJK		C1, A1		7.1	Brain	Brain - Frontal Cortex (BA9)		BP-19253	RNA isolation_QIAGEN miRNeasy	10/05/2011	LCSET-1156_1	02/15/2012	TrueSeq.v1	0.80672675	82140	0.96196795	954	0.8412034	0.89049834	0.28680748	24679	0.6692906	0.79013145	76	39.230755	0.0033258721	285	56113943	91665877	0.037570804	5583292	108969936	14598024	0.65924114	139166	42891820	79304	0.040916376	0	0.07146963	0.5630095	0.7490902	61351114	0.005344731	17338105	3173273	17768891	289	19176205	12213025	0.00429393	18947603	49.700188	0.051236995	0.87568	831	0.33070937	50.613537
GTEX-N7MS-0011-R10A-SM-2IZJW		C1, A1		7.1	Brain	Brain - Frontal Cortex (BA9)		BP-19253	RNA isolation_QIAGEN miRNeasy	10/05/2011	GTEx_Batch3Affy_Dec2011	01/13/2012	Affymetrix Expression																																													
GTEX-N7MS-0011-R11A-SM-2HMJS		C1, A1		6.6	Brain	Brain - Cerebellar Hemisphere		BP-19253	RNA isolation_QIAGEN miRNeasy	10/05/2011	LCSET-1156_1	02/15/2012	TrueSeq.v1	0.8248873	124085	0.9482717	840	0.859139	0.8129267	0.26642257	23854	0.80688816	0.8491987	76	47.487003	0.0026439375	227	118433761	89564930	0.0514097	1742115	104249628	14094130	0.69100696	133094	41821997	56998	0.031479686	0	0.13534504	0.69322914	0.69841707	72268876	0.0047249245	17634543	4851397	17910463	246	19289711	12188881	0.003642949	19203965	49.888622	0.016710995	0.8933909	848	0.19311191	50.388126
GTEX-N7MS-0011-R11A-SM-2IZJZ		C1, A1		6.6	Brain	Brain - Cerebellar Hemisphere		BP-19253	RNA isolation_QIAGEN miRNeasy	10/05/2011	GTEx_Batch3Affy_Dec2011	01/13/2012	Affymetrix Expression																																													
GTEX-N7MS-0011-R1a-SM-2AXVJ		C1, A1		7.3	Brain	Brain - Hippocampus		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0011-R1a-SM-2HMJG		C1, A1		7.3	Brain	Brain - Hippocampus		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1156_1	02/15/2012	TrueSeq.v1	0.7263314	72954	0.96474713	851	0.7585336	0.89081657	0.23243403	24234	0.675852	0.7881716	76	51.15817	0.0033348121	174	46892957	74571166	0.034957115	4033448	98309652	13919932	0.6829675	137405	34855184	67863	0.037264265	0	0.07393053	0.5126564	0.67571425	50399071	0.005416929	14216763	3015888	14553028	199	15741633	8798476	0.0043316744	15593361	49.76341	0.041027997	0.79073566	830	0.324148	50.584404
