ENSG_ID	AltIso_heart	AltIso_brain
1	ENSG00000000003	2.51	2.41
2	ENSG00000000005	0.31	0
3	ENSG00000000419	7.79	3.65
4	ENSG00000000457	1.09	0.9
5	ENSG00000000460	0.09	0.05
6	ENSG00000000938	1.92	1.19
7	ENSG00000000971	9.55	1.09
8	ENSG00000001036	60.25	24.75
9	ENSG00000001084	4	13.52
10	ENSG00000001167	2.02	4.49
11	ENSG00000001460	1.26	14.03
12	ENSG00000001461	9	29.7
13	ENSG00000001497	5.25	5.42
14	ENSG00000001561	2.61	6.71
15	ENSG00000001617	4.63	1.46
16	ENSG00000001626	0.07	0.15
17	ENSG00000001629	4.3	10.97
18	ENSG00000001630	4.43	43.5
19	ENSG00000001631	3.04	3.14
20	ENSG00000002016	0.44	0.46
21	ENSG00000002079	0.05	0
22	ENSG00000002330	14.12	9.17
23	ENSG00000002549	28.17	26.12
24	ENSG00000002726	0	0
25	ENSG00000002745	0	0.23
26	ENSG00000002746	0	9.13
27	ENSG00000002822	3.3	7.01
28	ENSG00000002834	14.32	43.41
29	ENSG00000002919	3.43	5.55
30	ENSG00000002933	31.18	14.73
31	ENSG00000003056	35.08	41.62
32	ENSG00000003096	1.35	1.16
33	ENSG00000003137	0.35	8.11
34	ENSG00000003147	8.02	3.27
35	ENSG00000003249	1.84	31.2
36	ENSG00000003393	4.38	5.05
37	ENSG00000003400	0.3	0
38	ENSG00000003402	41.14	7.45
39	ENSG00000003436	14.18	1.3
40	ENSG00000003509	4.19	1.44
41	ENSG00000003756	12.84	11.66
42	ENSG00000003987	0.08	5.96
43	ENSG00000003989	4.42	0.44
44	ENSG00000004059	50.35	164.03
45	ENSG00000004139	0.68	1.97
46	ENSG00000004142	52.99	27.8
47	ENSG00000004399	8.42	9.63
48	ENSG00000004455	0	0
49	ENSG00000004468	0.61	0.55
50	ENSG00000004478	24.49	75.74
51	ENSG00000004487	8.16	18.81
52	ENSG00000004534	8.25	9.28
53	ENSG00000004660	1.53	28.95
54	ENSG00000004700	4.6	2.65
55	ENSG00000004766	0.74	1.15
56	ENSG00000004776	750.6	44.34
57	ENSG00000004777	0	6.6
58	ENSG00000004779	144.11	48.59
59	ENSG00000004799	423.14	11.77
60	ENSG00000004809	0.22	0.15
61	ENSG00000004838	0.08	0.2
62	ENSG00000004846	0.17	0
63	ENSG00000004848	0	4.65
64	ENSG00000004864	2.28	2.11
65	ENSG00000004866	6.68	8.87
66	ENSG00000004897	5.29	7.31
67	ENSG00000004948	0.1	0
68	ENSG00000004961	19.52	11.73
69	ENSG00000004975	5.74	6.39
70	ENSG00000005001	0	0
71	ENSG00000005007	9.79	21.31
72	ENSG00000005020	1.91	3.73
73	ENSG00000005022	60.54	123.58
74	ENSG00000005059	2.72	2.14
75	ENSG00000005100	1.61	3.62
76	ENSG00000005102	2.7	0
77	ENSG00000005108	0.28	1.49
78	ENSG00000005156	2.46	5.12
79	ENSG00000005175	4.21	4.76
80	ENSG00000005187	0.05	0.1
81	ENSG00000005189	0.42	1.11
82	ENSG00000005194	3.47	25.02
83	ENSG00000005206	6.12	7.65
84	ENSG00000005238	4.12	2.55
85	ENSG00000005243	20.79	4.46
86	ENSG00000005249	8.21	23.14
87	ENSG00000005302	2.03	3.14
88	ENSG00000005339	5.14	6.17
89	ENSG00000005379	1.23	9.37
90	ENSG00000005381	0	0.31
91	ENSG00000005421	0.04	0.04
92	ENSG00000005436	0.78	0.77
93	ENSG00000005448	1.56	11.62
94	ENSG00000005469	1.25	0.75
95	ENSG00000005471	0.5	0
96	ENSG00000005486	8.4	99.66
97	ENSG00000005513	0.17	31.83
98	ENSG00000005700	3.55	2.77
99	ENSG00000005801	0.54	4.49
100	ENSG00000005810	2.11	6.32
101	ENSG00000005812	7.37	9.29
102	ENSG00000005844	0.51	0.28
103	ENSG00000005882	41.86	31.57
104	ENSG00000005884	3.11	3.17
105	ENSG00000005889	0.79	1.09
106	ENSG00000005893	9.82	59.02
107	ENSG00000005955	11.8	20.17
108	ENSG00000005961	0	0.78
109	ENSG00000005981	0.62	0.32
110	ENSG00000006007	25.76	20.15
111	ENSG00000006016	4.81	10.56
112	ENSG00000006025	0.32	1.45
113	ENSG00000006042	4.06	19.97
114	ENSG00000006047	0.3	1.23
115	ENSG00000006059	0	0
116	ENSG00000006062	1.24	1.2
117	ENSG00000006071	0.12	3.33
118	ENSG00000006074	19.03	0
119	ENSG00000006075	0	0
120	ENSG00000006114	2.52	6.93
121	ENSG00000006116	0	36.85
122	ENSG00000006118	1.01	28.77
123	ENSG00000006125	13	61.46
124	ENSG00000006128	0	4.14
125	ENSG00000006194	2.83	3.67
126	ENSG00000006210	8.26	45.5
127	ENSG00000006282	19.61	12.65
128	ENSG00000006283	0.07	3.83
129	ENSG00000006327	18.08	2.02
130	ENSG00000006377	0	1.31
131	ENSG00000006432	0.17	5.89
132	ENSG00000006451	4.91	10.53
133	ENSG00000006453	1.01	0.12
134	ENSG00000006459	1.81	0.82
135	ENSG00000006468	9.18	8.15
136	ENSG00000006530	5.46	8.06
137	ENSG00000006534	1.72	0
138	ENSG00000006555	0.09	0.29
139	ENSG00000006576	3.34	1.62
140	ENSG00000006606	0	0
141	ENSG00000006607	1.76	2.4
142	ENSG00000006611	0.09	9.27
143	ENSG00000006625	9.01	26.31
144	ENSG00000006634	0.2	0.45
145	ENSG00000006638	1.07	0.82
146	ENSG00000006652	6.35	5.24
147	ENSG00000006659	0	0
148	ENSG00000006695	9.98	3.96
149	ENSG00000006704	2.95	3.32
150	ENSG00000006712	21.6	35.15
151	ENSG00000006715	5.08	18.57
152	ENSG00000006744	11.14	10.19
153	ENSG00000006747	0.09	1.48
154	ENSG00000006756	3.92	0.81
155	ENSG00000006757	7.41	3.49
156	ENSG00000006788	0.42	0.02
157	ENSG00000006831	14.55	31.32
158	ENSG00000006837	0.39	1.15
159	ENSG00000007001	0	0.68
160	ENSG00000007038	0	0.09
161	ENSG00000007047	7.2	20.13
162	ENSG00000007062	0.25	0.51
163	ENSG00000007080	58.2	39.22
164	ENSG00000007129	0.48	0.74
165	ENSG00000007168	20.92	46.09
166	ENSG00000007171	0.03	1.19
167	ENSG00000007174	0	0.3
168	ENSG00000007202	11.44	13.57
169	ENSG00000007216	0	0
170	ENSG00000007237	9.01	107.34
171	ENSG00000007255	7.46	11.54
172	ENSG00000007264	0.32	13.06
173	ENSG00000007306	0	0
174	ENSG00000007312	3.74	0.22
175	ENSG00000007314	0.8	0.01
176	ENSG00000007341	2.59	2.67
177	ENSG00000007350	1.43	0.08
178	ENSG00000007372	0	4.19
179	ENSG00000007376	2.24	4.44
180	ENSG00000007384	4.52	1.72
181	ENSG00000007392	2.53	5.97
182	ENSG00000007402	1.05	4.6
183	ENSG00000007516	0.44	8.76
184	ENSG00000007520	27.78	39.51
185	ENSG00000007541	3.31	8.79
186	ENSG00000007545	1.64	3.08
187	ENSG00000007866	9.32	0.71
188	ENSG00000007908	0.17	0.34
189	ENSG00000007923	28	21.13
190	ENSG00000007933	1.45	0.15
191	ENSG00000007944	5.14	2.55
192	ENSG00000007952	0	0
193	ENSG00000007968	0.16	0.04
194	ENSG00000008018	39.22	36.15
195	ENSG00000008056	1.19	121.26
196	ENSG00000008083	3.99	5.02
197	ENSG00000008086	1.15	5.72
198	ENSG00000008118	0	21.42
199	ENSG00000008128	3.78	7.8
200	ENSG00000008196	0	0
201	ENSG00000008197	0	0
202	ENSG00000008226	0	0.1
203	ENSG00000008256	7.34	5.51
204	ENSG00000008277	0	2.47
205	ENSG00000008282	10.21	9.05
206	ENSG00000008283	2.82	11.05
207	ENSG00000008294	6.99	28.21
208	ENSG00000008311	4.4	1.21
209	ENSG00000008323	0.32	0.25
210	ENSG00000008324	7.39	15.25
211	ENSG00000008382	7.9	10.79
212	ENSG00000008394	8.36	12.94
213	ENSG00000008405	2.66	2.74
214	ENSG00000008438	0.14	0.43
215	ENSG00000008441	25.05	113.8
216	ENSG00000008513	25.33	1.77
217	ENSG00000008516	0.16	0
218	ENSG00000008517	33.27	12.26
219	ENSG00000008710	8.6	5.53
220	ENSG00000008735	0.19	125.12
221	ENSG00000008838	12.56	16.86
222	ENSG00000008853	6.26	22.73
223	ENSG00000008869	3.51	5.52
224	ENSG00000008952	10.59	34.43
225	ENSG00000008988	445.07	450.42
226	ENSG00000009307	174.45	87.7
227	ENSG00000009335	11.25	7.01
228	ENSG00000009413	0.69	1.97
229	ENSG00000009694	0.03	0.47
230	ENSG00000009709	0	0
231	ENSG00000009724	0	0
232	ENSG00000009765	0	0
233	ENSG00000009780	2.57	2.65
234	ENSG00000009790	0	0.44
235	ENSG00000009830	1.33	4.39
236	ENSG00000009844	11.74	20.87
237	ENSG00000009950	0.49	2.47
238	ENSG00000009954	7.73	12.42
239	ENSG00000010017	3.44	5.28
240	ENSG00000010030	0.22	0
241	ENSG00000010072	1.22	2.52
242	ENSG00000010165	10.81	35.18
243	ENSG00000010219	4.12	7.91
244	ENSG00000010244	27.49	27.82
245	ENSG00000010256	289.84	64.55
246	ENSG00000010270	6.88	11.11
247	ENSG00000010278	55.23	114.28
248	ENSG00000010282	103.61	15.92
249	ENSG00000010292	2.41	4.59
250	ENSG00000010295	4.49	8.75
251	ENSG00000010310	0.37	0.38
252	ENSG00000010318	0.38	0.78
253	ENSG00000010319	8.14	4.69
254	ENSG00000010322	5.04	30.62
255	ENSG00000010327	9.34	0.93
256	ENSG00000010361	7	11.14
257	ENSG00000010379	0.2	0.94
258	ENSG00000010404	35.22	200.86
259	ENSG00000010438	0	51.32
260	ENSG00000010539	1.87	0.96
261	ENSG00000010610	2.8	1.26
262	ENSG00000010626	3.75	9.49
263	ENSG00000010671	0.61	0.75
264	ENSG00000010803	13.98	5.82
265	ENSG00000010810	11.61	74.33
266	ENSG00000010818	2.09	13.33
267	ENSG00000010932	0.09	0
268	ENSG00000011007	7.38	6.24
269	ENSG00000011021	2.54	9.17
270	ENSG00000011028	6.03	0.86
271	ENSG00000011083	0.05	11.16
272	ENSG00000011105	22.74	3.91
273	ENSG00000011132	2.39	1.57
274	ENSG00000011143	1.3	2.42
275	ENSG00000011177	29.4	0.27
276	ENSG00000011198	8.57	3.28
277	ENSG00000011201	0.49	2.18
278	ENSG00000011243	15.77	15.99
279	ENSG00000011258	1.45	1.31
280	ENSG00000011260	2.52	8.71
281	ENSG00000011275	3.89	4.44
282	ENSG00000011295	3.3	8.21
283	ENSG00000011304	12.38	9.23
284	ENSG00000011332	0	14.91
285	ENSG00000011347	5.85	43.34
286	ENSG00000011376	4.72	7.88
287	ENSG00000011405	3.38	2.89
288	ENSG00000011422	1.09	0.75
289	ENSG00000011426	0.17	22.39
290	ENSG00000011451	7.09	6.97
291	ENSG00000011465	335.82	12.14
292	ENSG00000011478	0.56	3.34
293	ENSG00000011485	27.85	27.13
294	ENSG00000011566	3.8	3.16
295	ENSG00000011590	0	0.65
296	ENSG00000011600	56.15	32.2
297	ENSG00000011638	95.78	5.63
298	ENSG00000011677	0	6.83
299	ENSG00000012048	0.47	0.49
300	ENSG00000012061	49.67	18.45
301	ENSG00000012124	0.11	5.6
302	ENSG00000012171	6.8	53.04
303	ENSG00000012174	3.58	6.9
304	ENSG00000012211	5.65	0
305	ENSG00000012223	2.72	0
306	ENSG00000012232	9.17	12.96
307	ENSG00000012504	0	0
308	ENSG00000012660	4.89	20.19
309	ENSG00000012779	2.81	1.63
310	ENSG00000012817	0	0
311	ENSG00000012822	47.04	24.73
312	ENSG00000012963	5.41	11.2
313	ENSG00000012983	1.53	2.49
314	ENSG00000013016	14.78	47.21
315	ENSG00000013275	36.24	52.94
316	ENSG00000013288	5.93	11.73
317	ENSG00000013293	0	5.72
318	ENSG00000013297	2.02	162.14
319	ENSG00000013306	16.49	21.24
320	ENSG00000013364	18.09	15.61
321	ENSG00000013374	13.18	13.24
322	ENSG00000013375	2.01	3.42
323	ENSG00000013392	1.08	3.89
324	ENSG00000013441	14.31	6.58
325	ENSG00000013455	31.43	44.64
326	ENSG00000013503	1.6	2.56
327	ENSG00000013523	2.34	6.32
328	ENSG00000013561	14.39	9.15
329	ENSG00000013563	15.66	1.8
330	ENSG00000013573	0.52	0.35
331	ENSG00000013583	19.24	21.24
332	ENSG00000013588	0.61	0.09
333	ENSG00000013619	0	3.99
334	ENSG00000013725	0.14	0.18
335	ENSG00000013810	2.76	0.75
336	ENSG00000014123	3.53	6.75
337	ENSG00000014138	1.14	2.35
338	ENSG00000014164	1.66	5.18
339	ENSG00000014216	18.62	14.02
340	ENSG00000014257	0	0
341	ENSG00000014641	251.47	108.81
342	ENSG00000014824	13.36	15.34
343	ENSG00000014914	0.69	0.1
344	ENSG00000014919	8.77	8.29
345	ENSG00000015153	10.62	5.48
346	ENSG00000015171	25.93	34.87
347	ENSG00000015285	3.8	4.05
348	ENSG00000015413	0	0
349	ENSG00000015475	3.45	8.91
350	ENSG00000015479	0	11.92
351	ENSG00000015520	0	0
352	ENSG00000015532	3.21	3.87
353	ENSG00000015592	0	125.24
354	ENSG00000015676	16.12	56.84
355	ENSG00000016082	0	0
356	ENSG00000016391	1.08	2.64
357	ENSG00000016402	0	0.82
358	ENSG00000016490	0	0
359	ENSG00000016602	0	1.44
360	ENSG00000016864	3.2	6.02
361	ENSG00000017260	7.16	14.64
362	ENSG00000017373	0.05	20.94
363	ENSG00000017427	3.33	0.94
364	ENSG00000017483	0.12	6.63
365	ENSG00000017621	0.59	0.61
366	ENSG00000017797	24.34	29.63
367	ENSG00000018189	2.36	44.05
368	ENSG00000018236	0.12	35.54
369	ENSG00000018408	14.31	7.1
370	ENSG00000018510	4.82	6.82
371	ENSG00000018607	0	0.86
372	ENSG00000018610	6.73	6.94
373	ENSG00000018625	75.05	215.31
374	ENSG00000018699	2.01	1.33
375	ENSG00000019102	0.16	0.33
376	ENSG00000019144	20.81	45.83
377	ENSG00000019169	9.41	1.13
378	ENSG00000019186	0	0
379	ENSG00000019485	3.11	3.21
380	ENSG00000019505	1.46	26.77
381	ENSG00000019549	2.1	1
382	ENSG00000019582	202.46	84.43
383	ENSG00000019991	0.85	0.88
384	ENSG00000019995	8.22	6.96
385	ENSG00000020129	5.06	157.89
386	ENSG00000020181	5.79	3.35
387	ENSG00000020426	4.03	3.62
388	ENSG00000020577	26.37	9.82
389	ENSG00000020633	0.51	0.53
390	ENSG00000020922	1.21	1.87
391	ENSG00000021300	5.33	466.92
392	ENSG00000021355	10.13	8.98
393	ENSG00000021461	0	0
394	ENSG00000021488	0	0.07
395	ENSG00000021574	0.42	3.49
396	ENSG00000021602	0	0
397	ENSG00000021645	0.15	14.25
398	ENSG00000021762	3.63	5.45
399	ENSG00000021776	1.52	3.16
400	ENSG00000021826	0.17	1.26
401	ENSG00000021852	0	0
402	ENSG00000022267	166.54	16.62
403	ENSG00000022277	20.89	46.32
404	ENSG00000022355	0	20.03
405	ENSG00000022556	0.03	0.77
406	ENSG00000022567	1.55	3.57
407	ENSG00000022840	67.56	44.47
408	ENSG00000022976	0.63	1.29
409	ENSG00000023041	3.01	2.42
410	ENSG00000023171	0	0
411	ENSG00000023191	40.17	42.24
412	ENSG00000023228	93.78	29.35
413	ENSG00000023287	5.49	6.5
414	ENSG00000023318	3.89	3.16
415	ENSG00000023330	40.93	26.91
416	ENSG00000023445	1.46	0.24
417	ENSG00000023516	1.03	4.84
418	ENSG00000023572	12.22	10.66
419	ENSG00000023608	1.34	1.51
420	ENSG00000023697	8.91	6.52
421	ENSG00000023734	21.22	30.26
422	ENSG00000023839	0	0
423	ENSG00000023843	0	0
424	ENSG00000023892	0.26	0.55
425	ENSG00000023902	24.36	21.38
426	ENSG00000023909	1.16	2.84
427	ENSG00000024422	24.75	11.29
428	ENSG00000024526	0	0
429	ENSG00000024862	3.03	7.6
430	ENSG00000025039	16.85	7.72
431	ENSG00000025156	4.81	3.88
432	ENSG00000025293	1.36	2.55
433	ENSG00000025423	1.26	16.25
434	ENSG00000025434	4.57	5.7
435	ENSG00000025708	7.18	6.27
436	ENSG00000025770	10.24	14.23
437	ENSG00000025772	2.55	4.21
438	ENSG00000025796	12.76	21.96
439	ENSG00000025800	5.25	6.06
440	ENSG00000026025	100.76	37.05
441	ENSG00000026103	0	0.52
442	ENSG00000026652	0.71	20.44
443	ENSG00000026751	0.13	0
444	ENSG00000026950	1.76	3.19
445	ENSG00000027001	17.64	0.65
446	ENSG00000027075	4.38	1.01
447	ENSG00000027644	0.05	0
448	ENSG00000027697	24.15	11.44
449	ENSG00000027847	4.48	5.54
450	ENSG00000027869	0.21	0.32
451	ENSG00000028116	4.48	3.39
452	ENSG00000028137	9.05	4.04
453	ENSG00000028203	6.36	6.1
454	ENSG00000028310	7.47	14.38
455	ENSG00000028528	7.18	10.14
456	ENSG00000028839	2.1	5.63
457	ENSG00000029153	0.13	1.33
458	ENSG00000029363	12.68	22.07
459	ENSG00000029364	2.08	4.29
460	ENSG00000029559	0.21	0
461	ENSG00000029639	1.49	0.17
462	ENSG00000029725	10.31	19.29
463	ENSG00000029993	6.2	14.39
464	ENSG00000030066	2.54	1.27
465	ENSG00000030110	5.7	2.45
466	ENSG00000030419	1.14	2.35
467	ENSG00000030582	55.48	18.06
468	ENSG00000031003	3.82	1.87
469	ENSG00000031081	8.43	3.1
470	ENSG00000031544	0	0
471	ENSG00000031691	1.01	1.44
472	ENSG00000031698	21.59	68.42
473	ENSG00000031823	16.99	27.14
474	ENSG00000032219	2.83	5.66
475	ENSG00000032389	3.37	13.64
476	ENSG00000032444	7.52	24.03
477	ENSG00000032742	1.19	1.28
478	ENSG00000033011	3	4.54
479	ENSG00000033030	1.9	2.28
480	ENSG00000033050	10.08	14
481	ENSG00000033100	3.8	2.51
482	ENSG00000033122	0	2.38
483	ENSG00000033170	1.02	22.92
484	ENSG00000033178	0.93	2.1
485	ENSG00000033327	5.25	26.22
486	ENSG00000033627	5.52	108.38
487	ENSG00000033800	5.04	7.86
488	ENSG00000033867	1.76	0.87
489	ENSG00000034053	0	41.94
490	ENSG00000034063	0.1	1.28
491	ENSG00000034152	11.67	6.33
492	ENSG00000034239	0	0.28
493	ENSG00000034510	829.06	1294.85
494	ENSG00000034533	0.57	3.13
495	ENSG00000034677	5.93	6.34
496	ENSG00000034693	5.47	8.46
497	ENSG00000034713	55.26	84.12
498	ENSG00000034971	4.73	0
499	ENSG00000035115	0	3.98
500	ENSG00000035141	5.88	4.53
501	ENSG00000035403	34.23	5.71
502	ENSG00000035499	0.04	0.08
503	ENSG00000035664	5.14	3.85
504	ENSG00000035681	5.35	2.39
505	ENSG00000035687	1.1	9.02
506	ENSG00000035720	0	0
507	ENSG00000035862	50.27	100.79
508	ENSG00000035928	4.07	9.36
509	ENSG00000036054	3.01	4.14
510	ENSG00000036257	6.35	6.11
511	ENSG00000036448	370.19	4.53
512	ENSG00000036473	0.12	0
513	ENSG00000036530	0	16.77
514	ENSG00000036549	3.31	4.17
515	ENSG00000036565	0	0
516	ENSG00000036672	21.44	13.83
517	ENSG00000036828	0	0
518	ENSG00000037042	7.92	53.56
519	ENSG00000037241	9.29	9.13
520	ENSG00000037280	3.16	0.39
521	ENSG00000037474	11	5.78
522	ENSG00000037637	8.96	5.95
523	ENSG00000037749	2.06	2.06
524	ENSG00000037757	1.25	3.65
525	ENSG00000037897	1.31	2.7
526	ENSG00000037965	0.04	0
527	ENSG00000038002	2.61	2.79
528	ENSG00000038102	1.04	1.11
529	ENSG00000038210	0.27	0.59
530	ENSG00000038219	1.17	2.06
531	ENSG00000038274	51.02	71.58
532	ENSG00000038295	0.13	0.19
533	ENSG00000038358	3.55	6.01
534	ENSG00000038427	4.87	3.74
535	ENSG00000038532	2.98	6.3
536	ENSG00000038945	1.13	0.58
537	ENSG00000039068	0	0.3
538	ENSG00000039123	11	10.29
539	ENSG00000039139	0.01	0.09
540	ENSG00000039319	2.27	1.68
541	ENSG00000039523	17.46	24.17
542	ENSG00000039537	18.16	0
543	ENSG00000039560	0.66	1.49
544	ENSG00000039600	0.03	0
545	ENSG00000039650	6.75	5.06
546	ENSG00000039987	0	0.05
547	ENSG00000040199	0.46	2.51
548	ENSG00000040275	0.82	1.78
549	ENSG00000040341	18.12	21.74
550	ENSG00000040487	2.6	3.57
551	ENSG00000040531	1.12	0
552	ENSG00000040633	2.73	15.47
553	ENSG00000040731	0	8.62
554	ENSG00000040933	4.08	10.33
555	ENSG00000041353	0	3.32
556	ENSG00000041357	24.23	22.43
557	ENSG00000041515	0	1.34
558	ENSG00000041802	4.45	6.68
559	ENSG00000041880	5.65	5.05
560	ENSG00000041982	1.25	2.17
561	ENSG00000041988	2.58	3.2
