ENSG_ID	Atlas_heart	Atlas_brain	Atlas_kidney
1		1.429	0.431	0.09
2	ENSG00000144583	0.054	0.375	0.062
3	ENSG00000198060	3.153	2.693	2.966
4		0.092	16.845	0.127
5		4.983	53.277	2.189
6		1.518	7.03	0.068
7		3.533	5.522	4.612
8		3.283	5.135	4.202
9	ENSG00000140623	0	0	0.014
10	ENSG00000242366	0	0	0
11		2.518	3.118	2.985
12	ENSG00000111981	0.047	0.314	0.077
13		0.282	11.939	0.809
14		0.02	1.116	0
15		1.687	1.153	1.454
16		23.166	3.174	3.955
17		0.666	1.474	1.215
18		0	0	0
19		3.293	1.721	3.859
20		0.169	0.051	6.869
21		180.494	53.231	69.872
22		0.05	0.343	0.014
23	ENSG00000118017	0	0	0.157
24		0	0.552	0.047
25	ENSG00000094914	0.792	0.784	0.918
26		1.561	4.005	2.473
27		0.058	0	0
28	ENSG00000188984	0	0	0
29		1.916	2.888	1.889
30	ENSG00000129673	0	0	0
31	ENSG00000129673	0.039	0	0.039
32		2.515	0.656	0.146
33		4.072	11.098	5.152
34		13.093	2.686	13.493
35	ENSG00000108270	13.479	17.06	14.098
36	ENSG00000183044	2.376	19.25	16.679
37		0.265	4.505	0.464
38		0.186	2.151	0.322
39		0.003	0.528	0.425
40		0.041	0.167	0.071
41		1.009	0.208	0.199
42		1.175	1.601	1.862
43		1.016	2.053	1.092
44		4.319	3.191	4.07
45		0.04	0.17	0.194
46		0.032	0.064	0.032
47		0.86	0.664	0.567
48		0	0.091	0.024
49		0.007	0.013	0.118
50		0.148	0	5.965
51		5.008	6.126	4.492
52		16.545	14.993	14.557
53		0.165	0.323	0.211
54		3.002	4.117	1.16
55		0.135	0.787	0.301
56	ENSG00000143921	0.056	0.014	0.021
57		0.353	0.324	0.894
58		2.115	6.09	2.471
59	ENSG00000139826	1.431	1.236	1.364
60		1.415	0.889	10.562
61		1.163	0.731	8.783
62	ENSG00000168792	0.695	0.407	1.294
63		10.165	12.906	5.615
64	ENSG00000158201	0.479	0.826	0.961
65		2.535	1.38	1.122
66		0.098	0.816	0.142
67		3.079	9.504	3.815
68	ENSG00000108798	0.345	0.755	0.343
69		11.999	2.719	2.922
70		5.237	4.181	3.783
71		1.549	2.368	1.358
72		1.524	2.317	1.34
73		1.413	2.274	1.279
74		47.42	10.702	12.877
75		0.968	3.298	0.383
76		0.984	3.391	0.366
77		0.932	3.204	0.35
78		6.92	31.087	2.161
79	ENSG00000174429	11.304	0.028	0.189
80	ENSG00000146109	0.901	0.672	0.855
81		0.173	0.333	0.067
82		9.382	6.422	33.085
83		1.386	4.716	1.685
84		1.295	4.548	1.591
85		1.547	1.311	8.149
86		8.72	6.333	22.751
87		7.844	2.234	7.201
88		0.116	0.381	0.115
89	ENSG00000072182	0	0.942	0
90	ENSG00000023843	0	0	0.088
91	ENSG00000167769	0	0	0
92		1.772	3.187	2.603
93	ENSG00000100813	9.686	7.164	10.676
94	ENSG00000100813	9.454	6.988	10.442
95	ENSG00000100813	13.418	9.612	14.625
96	ENSG00000100813	13.307	9.532	14.504
97		13.228	10.768	11.993
98	ENSG00000162390	0.393	0.123	0.794
99		0.122	0.171	0.531
100		0.352	3.365	0.985
101		1.854	1.634	1.295
102		1.81	1.595	1.264
103		0.007	0.056	0.02
104		1.252	1.514	1.995
105	ENSG00000102575	0.395	0.024	5.355
106		0	0	0
107		0.068	0.221	0.095
108		0	0	0
109		0	0	0
110		0	0	0
111		0	0	0
112		0	0	0.028
113		0.013	2.035	0.026
114		12.506	16.733	16.428
115		1.555	1.793	1.195
116		0.202	13.144	0.529
117		0.006	0	21.481
118		3.683	1.102	6.488
119		3.49	1.055	5.732
120		8.078	13.725	8.56
121		15.632	10.421	13.352
122		15.238	10.158	13.016
123		0	1.138	0
124		363.736	7.071	0.066
125		0.013	0.027	0.006
126		26.683	38.131	21.733
127		0.347	3.829	0.699
128	ENSG00000123165	0	0	0
129		5.365	4.033	7.991
130	ENSG00000123612	0.135	1.24	0.066
131	ENSG00000123612	0.151	1.268	0.067
132		2.258	1.364	0.668
133		4.718	3.775	3.603
134		11.906	11.472	12.139
135		0.184	0.84	0.155
136		0.612	0.51	0.167
137		0.299	8.754	1.041
138		0.314	10.29	1.19
139		0.495	1.869	1.328
140		0.469	2.283	1.106
141		0.18	0.075	0.079
142		0	0.061	0
143		0	0	0
144		37.728	11.054	22.951
145		38.016	11.188	23.4
146		0.075	0.017	0.067
147		33.308	7.405	13.096
148		0.452	0.625	0.793
149		0.289	0.397	0.533
150		0.092	0.268	0.12
151	ENSG00000087116	0.11	0	0.044
152	ENSG00000087116	1.184	0.083	0.249
153		0.58	0.118	0.064
154		0.737	0.117	0.093
155		9.854	20.871	12.738
156		9.809	20.712	12.657
157		1.924	3.376	1.395
158		1.686	2.963	1.093
159		1.377	2.308	0.918
160		0.103	0.573	0.076
161		0.209	0.577	0.482
162		0.578	1.951	1.138
163	ENSG00000174233	2.277	0.675	1.542
164		1.4	1.093	0.601
165		0	2.938	0.023
166		0.352	9.363	0
167	ENSG00000148700	15.576	27.829	19.73
168	ENSG00000248144	0.519	0	1.196
169		12.52	8.229	17.664
170		0.067	0.027	3.539
171	ENSG00000181092	2.183	0.017	0.348
172		9.124	7.108	6.546
173		9.09	7.081	6.522
174	ENSG00000156110	3.519	4.859	3.812
175		0.044	0	0.917
176		6.158	11.572	8.797
177		0.624	0.74	0.017
178		2.326	1.201	1.364
179		25.931	0.425	0.188
180		0.441	0.83	0.724
181		2.394	1.95	0.056
182	ENSG00000169252	0.523	0.373	0.21
183	ENSG00000188778	0.042	0.029	0.063
184		0.985	2.178	0.689
185	ENSG00000185100	5.267	0.565	1.115
186		19.688	5.32	7.042
187		2.352	3.602	2.932
188	ENSG00000196526	0.741	1.184	0.673
189		0.484	1.577	1.927
190		9.658	3.559	17.323
191		0.317	2.433	0.185
192		0.317	2.433	0.185
193		0.871	5.043	0.581
194		15.502	12.097	14.567
195	ENSG00000079557	0.028	0	11.726
196		0.028	5.846	0.037
197		0.209	0.122	3.065
198		1.272	3.744	6.653
199		2.971	5.235	9.067
200		0.213	0.192	0.364
201		0	0	0
202		0.054	0.047	0.069
203		0.047	0.014	0.054
204	ENSG00000204169	0	0.016	0.038
205		0.053	0.14	0.126
206		0.543	1.088	1.894
207	ENSG00000162688	5.491	3.459	3.801
208		0.862	1.028	0.997
209		5.194	8.232	11.966
210		0	0	0
211		1.847	4.021	6.865
212		0	0	0.34
213		0	0	0.124
214		6.341	12.03	2.53
215	ENSG00000144891	0.626	0.031	0.768
216		0.629	0.538	0.494
217		0.599	0.512	0.47
218		0.592	0.482	0.442
219		9.29	44.941	0.561
220		9.195	44.497	0.555
221		9.283	7.482	7.293
222		0.613	11.338	5.148
223		0	0	0
224		2.572	2.714	6.272
225		0	0	0
226	ENSG00000204472	10.166	16.057	3.985
227		18.89	3.613	37.109
228		12.99	2.443	25.695
229		16.187	3.51	31.584
230		0.061	1.919	0.046
231		0.025	0.026	0.025
232		0	0.041	0.007
233		0	0.038	0.006
234	ENSG00000196581	0.057	9.165	1.269
235		9.93	3.712	1.416
236		4.001	2.669	12.304
237		0.308	119.493	0.32
238		9.687	5.156	6.285
239		18.338	41.979	18.579
240		17.906	41.076	18.163
241		0.056	0.229	0.056
242		0.395	0.339	0.596
243		0	0	0.006
244		0.713	1.678	0.47
245		5.122	7.107	4.193
246		15.869	15.195	19.391
247		15.839	15.166	19.362
248		8.144	10.654	8.071
249		7.74	10.126	7.773
250	ENSG00000135334	15.416	16.844	7.071
251		4.266	2.828	21.071
252	ENSG00000211454	0.044	0.305	2.157
253		1.834	1.293	1.129
254		6.242	4.502	4.506
255		37.193	0.152	24.347
256		0.09	0.024	0.113
257	ENSG00000059573	2.508	3.573	4.602
258	ENSG00000128918	1.51	0.818	2.236
259		1.652	2.825	13.456
260		0.032	0.193	0.105
261		0.029	0.177	0.096
262		0.385	8.046	1.789
263		2.87	3.807	6.461
264		2.779	3.707	6.256
265		0.562	0.226	1.227
266		0	0.03	0.022
267		0	0.029	0.014
268		0.037	0.104	10.824
269		1.452	0.125	788.91
270		16.768	85.212	0.494
271		0.078	0.327	0.219
272		0	0	0
273		1.317	1.929	1.632
274	ENSG00000179627	0.431	0.136	0.48
275		0.377	0.614	0.212
276	ENSG00000175893	4.351	10.279	4.299
277		5.542	8.072	10.442
278		3.177	3.37	2.483
279		0.841	1.678	0.991
280		25.576	8.929	11.698
281		0.013	0.26	0.362
282		0.028	0.014	0.007
283	ENSG00000179593	0.531	0.046	0.134
284		3.513	2.859	6.4
285		0	0	0
286		0.319	0.365	0.139
287		0.319	0.365	0.139
288		0.047	0	0.117
289		0.009	0	0.054
290	ENSG00000135409	0	0	0
291	ENSG00000135409	0	0	0
292	ENSG00000101935	0.816	0.56	1.629
293	ENSG00000144233	2.046	1.346	1.796
294		0	0	0.119
295		1.732	4.292	1.274
296	ENSG00000197020	3.895	3.408	3.306
297		0	0	0.016
298		0.649	3.066	0.616
299		0.539	13.469	0.283
300		0.793	0.797	2.077
301		0.257	0.661	0.91
302		0.038	0.275	0.084
303	ENSG00000141552	1.073	1.091	0.789
304	ENSG00000141552	0.468	1.324	0.425
305	ENSG00000129055	5.576	6.655	9.985
306	ENSG00000129055	4.719	5.633	8.451
307		8.281	5.856	10.02
308		3.378	5.021	4.176
309		1.469	3.363	2.166
310	ENSG00000214274	1.108	0.256	1.604
311		3.849	0.827	0.693
312		2.446	2.229	3.966
313		4.88	2.026	1.09
314	ENSG00000178150	0.262	0.464	0.319
315	ENSG00000171819	2.274	0.085	1.558
316		2.603	1.016	0.024
317		2.636	1.058	0.023
318		0.748	0.851	0.031
319		0.683	0.91	0.03
320		0.658	0.881	0.028
321		0.563	2.082	0.28
322		1.493	3.333	2.262
323		0.243	0.153	0.282
324		1.554	1.412	1.977
325		7.45	11.44	8.011
326		0.227	0.512	0.142
327		11.318	12.589	10.549
328		2.392	1.314	1.431
329		0.005	0.979	0.212
330		0.521	2.118	0.099
331		7.622	8.361	6.834
332		0.04	0.041	0.06
333	ENSG00000132623	0.293	0.525	1.048
334	ENSG00000151458	2.926	4.903	2.38
335		0.065	0	0.047
336		0.146	0.518	0.48
337		0.067	0.409	0.007
338	ENSG00000186212	0	0.752	0.8
339		1.403	1.074	1.533
340		1.663	1.645	2.847
341		1.547	0.232	0.754
342		1.827	0.189	0.841
343		3.791	7.345	7.419
344		12.635	5.593	11.696
345		12.245	4.979	11.088
346		12.858	5.109	11.436
347	ENSG00000185101	0	0.04	0.213
348		32.947	69.061	35.399
349		6.571	8.742	1.589
350		5.267	0.987	2.551
351		80.164	25.052	17.998
352		32.27	9.192	13.828
353		43.076	12.148	14.21
354		3.111	1.569	2.716
355		13.436	18.402	6.483
356		13.353	18.288	6.443
357	ENSG00000131480	0.058	0.088	0.143
358	ENSG00000131480	0.077	0.099	0.16
359	ENSG00000131471	0.482	0.047	0.516
360		0	0	0
361		4.492	6.33	9.574
362		1.107	2.139	1.714
363		9.235	3.137	0.975
364		0.037	0.066	0.361
365		2.291	4.277	1.643
366		2.803	9.44	3.744
367		38.648	96.608	30.271
368	ENSG00000042753	0.673	1.611	0.884
369	ENSG00000185009	2.923	3.17	2.387
370	ENSG00000185009	2.864	3.13	2.347
371		1.305	10.355	2.349
372		8.229	16.226	3.841
373		4.53	6.911	4.527
374		1.314	1.95	1.114
375	ENSG00000107282	0.396	11.216	0.434
376		0.005	12.037	0.088
377		1.828	12.19	0.926
378		2.121	3.568	2.067
379		2.12	3.582	2.066
380		2.219	3.961	2.351
381		2.202	3.935	2.339
382		0.036	0.012	0.232
383		1.588	2.253	3.213
384		3.071	6.07	4.695
385		2.84	3.193	6.912
386		1.232	2.648	1.19
387		7.171	11.984	10.335
388		0.342	24.899	0.045
389		114.665	102.683	153.432
390		110.451	103.375	149.037
391		2.328	2.569	2.497
392	ENSG00000158874	5.045	0	1.45
393		0.058	0	0.086
394		9.064	0.023	0.42
395		0.054	0.153	0.267
396		0.619	0.613	0.969
397		0.215	0.384	0.271
398	ENSG00000147118	1.721	2.466	2.578
399	ENSG00000100298	0.018	0.109	0.018
400	ENSG00000100298	0.018	0.109	0.018
401		0.49	0	0.417
402		5.119	3.319	4.549
403		5.061	3.283	4.496
404		12.54	20.649	10.775
405		11.355	2.615	5.825
406		7.283	1.669	3.742
407		4.261	3.069	3.04
408		67.854	207.476	125.999
409		1.59	136.929	0.34
410	ENSG00000161798	0	0	0
411		3.101	4.289	4.624
412		2.845	1.938	2.845
413		1.178	9.884	2.35
414		0.372	0.13	0.261
415		4.885	13.661	2.05
416		11.745	13.693	10.76
417		11.527	13.461	10.605
418		0.586	1.065	0.804
419		9.373	8.431	11.457
420		5.872	5.883	7.166
421		2.092	2.215	3.648
422		1.491	2.406	2.156
423	ENSG00000186103	0.048	0.037	0.048
424		0.627	0.691	1.203
425		2.131	1.44	5.129
426		0.204	0.125	0.493
427		6.353	3.656	1.643
428		1.279	1.211	0.925
429		0.548	1.626	1.054
430		0.311	0.234	0.258
431		1.432	0.519	0.721
432		0	0.013	0.351
433		2.837	6.029	1.18
434		0.044	3.097	0.022
435		0.318	0.574	0.8
436		3.722	6.186	3.346
437		2.324	9.051	2.125
438		9.468	9.966	8.604
439	ENSG00000116017	0.358	0.324	0.541
440		4.346	6.2	4.164
441		0.049	0.148	0.29
442		0.873	0.893	1.311
443		1.77	2.088	2.648
444		1.209	0.661	1.832
445		0	0	0
446	ENSG00000213465	4.251	8.368	4.531
447		5.936	3.749	3.892
448		33.931	29.336	20.86
449		3.546	5.226	3.836
450		5.498	8.877	5.729
451		4.956	8.031	5.26
452		0.016	0.18	0.047
453		0.083	0.608	0.19
454		1.488	3.131	1.35
455	ENSG00000125962	0.802	2.014	1.492
456		2.381	2.979	2.322
457		26.509	26.765	18.344
458		24.281	42.635	26.71
459		2.206	3.094	2.146
460		1.203	4.891	1.975
461		2.087	2.099	2.508
462	ENSG00000105643	1.341	3.103	0.859
463	ENSG00000100299	0.11	0.286	0.529
464	ENSG00000100299	0.108	0.279	0.517
465	ENSG00000100299	0.105	0.272	0.504
466		1.603	1.123	2.825
467	ENSG00000205667	0	0	0.011
468		0.849	0.332	1.954
469		0.447	0.101	0.111
470		0	0.117	0.019
471	ENSG00000214435	3.621	1.291	2.579
472		0.105	0.279	0.241
473		0.1	0.267	0.23
474		0.49	1.253	0.783
