/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_brain_out/counts_brain_tophat_htseq.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_heart_out/counts_heart_tophat_htseq.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_kidney_out/counts_kidney_tophat_htseq.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_brain_out/count_brain.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_heart_out/count_heart.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_kidney_out/count_kidney.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030882_tophat_output/count.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030886_tophat_output/count.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030885_tophat_output/count.txt	/proj/b2010078/PublicDataProject/HPA/count_brain_3b.txt	/proj/b2010078/PublicDataProject/HPA/count_heart_6a.txt	/proj/b2010078/PublicDataProject/HPA/count_kidney_a.txt	/proj/b2010078/PublicDataProject/Wang/brain_counts.txt	/proj/b2010078/PublicDataProject/Wang/heart_counts.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/count_brain.txt
ENSG00000000003	84	53	388	309	151	852	1384	706	4274	918	131	1059	58	69
ENSG00000000005	1	0	7	8	2	24	12	28	15	4	1	4	0	3
ENSG00000000419	156	118	149	476	625	462	2038	2199	3038	467	356	294	88	157
ENSG00000000457	70	56	81	115	77	165	523	395	695	314	121	202	31	32
ENSG00000000460	32	19	11	33	36	39	228	169	298	153	46	56	13	3
ENSG00000000938	61	133	94	14	28	6	217	439	673	69	44	63	35	67
ENSG00000000971	74	429	278	762	6004	1075	2188	8063	6018	179	6520	644	58	509
ENSG00000001036	164	213	800	97	116	180	1778	2307	4271	244	274	831	224	356
ENSG00000001084	860	227	606	524	179	401	5424	2042	5508	2495	293	922	573	177
ENSG00000001167	330	164	201	318	160	220	1674	678	1986	1385	240	290	190	80
ENSG00000001460	306	61	109	152	20	43	1217	306	696	203	81	112	390	46
ENSG00000001461	3102	448	524	2154	332	512	14390	4489	4425	2734	632	847	2609	435
ENSG00000001497	658	287	583	301	207	355	2081	797	2102	2327	365	517	204	148
ENSG00000001561	636	155	418	730	714	660	9760	4446	7124	1786	543	899	364	143
ENSG00000001617	108	572	945	13	20	40	312	816	2957	63	230	622	54	198
ENSG00000001626	10	5	82	15	9	68	120	49	262	61	4	78	11	5
