ENSEMBL_ID Gene_ID EoGE_brain EoGE_heart EoGE_kidney Atlas_brain Atlas_heart Atlas_kidney BodyMap_brain BodyMap_heart BodyMap_kidney HPA_brain HPA_heart HPA_kidney AltIso_brain AltIso_heart
24470 ENSG00000215405 GOLGA6L6 0.121718 0.0351594 0.0346578 0.112413 0.0712452 0.105123 0.257252 0.0962981 0.204665 0.0149764 0.00422822 0.00460968 0.163454 0.0396302
60154 ENSG00000268343 AC012414.1 0 0 0.134502 0.0277859 0 0 0.0151063 0 0 0 0 0 0 0
32229 ENSG00000230031 POTEB 0 0 0 0.0470677 0 0 0 0 0 0 0 0 0 0
7784 ENSG00000138593 SECISBP2L 26.9972 4.00941 9.35116 56.0237 26.4605 43.3812 53.8846 12.0235 17.9055 39.7052 7.02073 19.0468 49.4927 7.56615
60341 ENSG00000268531 DKFZP547L112 0 0 0.134502 0.0277859 0 0 0.0151063 0 0 0.0928301 0 0 0 0
35460 ENSG00000233917 POTEB 0 0 0 0.0470677 0.0344365 0 0 0 0 0 0 0 0 0
11952 ENSG00000166157 TPTE 0.0182548 2.21065e-07 1.08203e-08 5.52486e-19 5.60708e-19 0.0504198 0.0349289 0.00873643 0.0296463 2.5194e-90 0.0685983 3.71911e-28 0.0337074 0.0481383
60812 ENSG00000269011 AL050303.1 0 0 0 0.00812701 0 0.0257498 0.0336469 0 0 0.134266 0 0 0.128735 0
12611 ENSG00000168675 LDLRAD4 37.3477 14.6731 2.6759 12.7676 11.5348 5.06749 19.0836 5.93463 2.45499 18.2489 10.0888 4.9692 25.1138 8.01425
17253 ENSG00000188992 LIPI 0 0 0 0 0.031572 0.0309681 0 0.0172732 0 0.0323246 0 0.0517532 0 0
16302 ENSG00000185272 RBM11 3.19886 0.128194 0.656006 7.84498 0.269867 0.850927 6.72407 0.235259 1.43984 2.24703 0.608979 0.996185 1.7806 0.104889
15680 ENSG00000182974 OR4M2 0 0 0 0 0 0.0477989 0 0 0 0.150126 0 0 0 0
15883 ENSG00000183706 OR4N4 0 0 0 0 0 0 0 0 0 0.419519 0 0 0 0
10002 ENSG00000155304 HSPA13 16.9737 3.79777 7.20713 18.6463 4.54747 4.36395 26.7835 6.28334 16.4171 29.5634 7.23454 12.2454 12.8629 3.9352
17864 ENSG00000197414 GOLGA6L1 0.175483 0.0493948 0.0371883 0.327902 0.101438 0.138697 0.337591 0.103446 0.27897 0.0261603 0.0393753 0.00644607 0.223228 0.0858128
11970 ENSG00000166200 COPS2 14.4899 8.88477 9.2198 49.8433 51.9432 23.7028 32.1323 35.8069 32.4603 28.0016 23.9044 38.5679 12.8953 12.4105
10003 ENSG00000155307 SAMSN1 0.459631 0.105245 0.756982 10.1333 3.89942 1.18391 1.97012 2.20402 3.86695 2.79081 1.16565 2.15724 0.592905 0.718411
41947 ENSG00000243440 AF165138.7 0 0 0 0 0.0709357 0.069578 0 0.0187212 0 0 0 0 0 0
9808 ENSG00000153575 TUBGCP5 9.81119 2.38779 6.22107 14.4261 5.51976 11.5841 7.66222 3.68002 4.19077 12.2886 4.43828 5.36288 4.57403 2.97867
15159 ENSG00000180530 NRIP1 2.98058 1.17723 2.98154 11.3605 7.88411 20.9482 6.18692 3.37421 7.26067 6.83212 2.87221 14.0386 1.81703 0.894536
7643 ENSG00000137824 RMDN3 51.1242 13.1948 61.7204 20.6727 5.04057 16.0759 21.0185 4.25497 15.3668 28.9524 6.89341 26.8457 18.6642 7.10379
51736 ENSG00000259458 RP11-625H11.1 0.0376012 0 0 0 0.0579928 0.0544606 0 0.0457233 0 0 0 0 0 0.0272433
7661 ENSG00000137880 GCHFR 15.7198 9.34754 126.431 3.51686 0.81409 3.86588 2.52033 1.33639 10.1802 4.04541 3.74483 46.4161 8.96722 6.51649
2909 ENSG00000104129 DNAJC17 9.76216 6.31307 16.4543 27.1206 14.1099 18.3962 2.57937 2.12138 6.36507 12.271 4.61325 8.01553 3.97279 4.76056
14490 ENSG00000177150 FAM210A 5.65799 16.7129 12.3681 3.00681 7.24572 6.08795 4.06164 17.1581 7.34391 5.2601 12.1747 12.0398 4.33491 9.9957
10004 ENSG00000155313 USP25 12.7182 11.5617 14.3426 49.432 50.1776 34.278 11.421 19.2539 13.0595 10.149 13.0572 17.3678 13.9586 21.8991
2589 ENSG00000101638 ST8SIA5 15.3929 5.66321 2.71699 7.20681 0.862106 0.695067 2.97096 1.87518 1.00409 2.34952 2.70372 0.831796 7.01148 3.91998
34329 ENSG00000232560 C21orf37 0.687843 0 0 2.57341 0 0.02059 5.41592 0 0.0981633 3.47026 0 0 1.76356 0.0367996
9927 ENSG00000154639 CXADR 8.69107 6.00693 5.92751 36.4837 29.6477 19.8792 9.59625 5.1212 6.98144 9.10552 4.26014 8.20325 5.63164 2.1736
2591 ENSG00000101654 RNMT 17.7081 5.659 6.98683 33.7134 10.9285 9.27044 14.0745 7.40903 7.57134 14.744 10.7362 8.15115 17.4455 8.78139
