HPA_heart HPA_brain HPA_kidney AltIso_heart AltIso_brain GTEx_heart GTEx_brain GTEx_kidney
ENSG00000000003 6.7 11.8 44.4 2.51 2.41 19.0666694641113 9.58785915374756 2.55003619194031
ENSG00000000005 0.9 0.2 1.2 0.31 0 0.717326283454895 0.0743167847394943 0.16140553355217
ENSG00000000419 42.6 21.4 34.3 7.79 3.65 21.2075748443604 25.3360004425049 29.9531288146973
ENSG00000000457 4.3 4.6 6.8 1.09 0.9 5.17319393157959 2.87746524810791 3.9861011505127
ENSG00000000460 1.3 1.7 1.8 0.09 0.05 1.05534636974335 0.903842866420746 0.754410684108734
ENSG00000000938 2.7 2.4 2.4 1.92 1.19 2.06510305404663 2.63700890541077 0.718973755836487
ENSG00000000971 86.8 7.8 19.3 9.55 1.09 182.530120849609 14.396336555481 6.77018642425537
ENSG00000001036 30.2 12.6 53.9 60.25 24.75 15.0723485946655 7.11737966537476 2.61531400680542
ENSG00000001084 11.9 26.5 22.7 4 13.52 4.14551639556885 17.7825603485107 2.54704332351685
ENSG00000001167 5.5 10.9 8.2 2.02 4.49 7.89031744003296 4.44543552398682 2.46826124191284
ENSG00000001460 3 6.9 5.5 1.26 14.03 1.65643763542175 2.38024520874023 0.429765671491623
ENSG00000001461 12.9 42.1 15.7 9 29.7 1.56451368331909 12.580225944519 0.924536406993866
ENSG00000001497 10.1 18.1 15.4 5.25 5.42 20.9581069946289 17.0890369415283 3.47843861579895
ENSG00000001561 12 20 16.7 2.61 6.71 1.84572327136993 13.424409866333 15.9603300094604
ENSG00000001617 7.3 1.3 14.1 4.63 1.46 2.07697105407715 1.82366061210632 1.15177118778229
ENSG00000001626 0.1 0.9 1 0.07 0.15 0.00463128928095102 0.507882177829742 0
ENSG00000001629 8.8 22.5 23.8 4.3 10.97 6.78702163696289 13.5855264663696 3.68700575828552
ENSG00000001630 9.7 36.1 20 4.43 43.5 2.70941352844238 2.31606030464172 0.831254303455353
ENSG00000001631 20 19.5 19.9 3.04 3.14 8.57507228851318 9.48587322235107 7.23912858963013
ENSG00000002016 3.7 7.2 6.7 0.44 0.46 10.0921268463135 4.16677904129028 1.52825272083282
ENSG00000002330 26.9 26.3 33.4 14.12 9.17 14.1910343170166 14.4147672653198 3.52810144424438
ENSG00000002549 49 36.7 85.8 28.17 26.12 6.76711559295654 13.8314952850342 15.5927648544312
ENSG00000002726 0.4 0.1 159 0 0 0 0 0
ENSG00000002745 0 0.3 0.1 0 0.23 0.0679199025034904 0.0305760074406862 0.0249025337398052
ENSG00000002746 0 6.6 18.7 0 9.13 0.00698167877271771 1.11940896511078 0.134747967123985
ENSG00000002822 9.3 8 7 3.3 7.01 1.90353417396545 2.22119784355164 1.33935821056366
ENSG00000002834 17.9 38.3 43.3 14.32 43.41 24.7636470794678 20.1582736968994 3.87328481674194
ENSG00000002919 7.9 10.7 13 3.43 5.55 6.21401834487915 10.6614742279053 5.62488412857056
ENSG00000002933 44.6 12.9 237.9 31.18 14.73 184.304336547852 11.5089864730835 2.75603246688843
ENSG00000003056 57.5 43.5 58.8 35.08 41.62 10.3425693511963 11.7101173400879 7.13806200027466
ENSG00000003096 7 4.9 11.4 1.35 1.16 1.36160838603973 11.291618347168 0.672171592712402
ENSG00000003137 4 5.9 6.3 0.35 8.11 1.81075942516327 0.67400074005127 0.239654242992401
ENSG00000003147 41.1 18.6 15.7 8.02 3.27 0.678203582763672 14.5893030166626 1.11224687099457
ENSG00000003249 2.4 14.2 5.8 1.84 31.2 2.34211778640747 7.46284866333008 6.40544891357422
ENSG00000003393 17.4 12.1 11 4.38 5.05 3.2095639705658 5.40622806549072 5.82361364364624
ENSG00000003400 3.3 1.5 5 0.3 0 1.07630383968353 0.946692645549774 0.823242425918579
ENSG00000003402 83.9 16.1 48.5 41.14 7.45 13.0611381530762 5.02568435668945 15.0856351852417
ENSG00000003436 25.8 4 42.4 14.18 1.3 8.08960151672363 0.488082885742188 8.49758338928223
ENSG00000003509 15.1 7.5 10.6 4.19 1.44 8.17168235778809 5.15441513061523 7.43251991271973
ENSG00000003756 48.2 62.2 50.5 12.84 11.66 127.330894470215 45.4441146850586 21.9998455047607
ENSG00000003987 0.4 14.4 1.1 0.08 5.96 1.01405394077301 5.56375026702881 0.00638672104105353
ENSG00000003989 9.1 7.2 6.7 4.42 0.44 135.019470214844 3.67426228523254 31.8356704711914
ENSG00000004059 78.3 92.2 77.9 50.35 164.03 34.7327423095703 76.6785736083984 22.1625938415527
ENSG00000004139 5 10.6 6.3 0.68 1.97 2.0454535484314 2.73123693466187 0.177955806255341
ENSG00000004142 79.7 38.1 76.6 52.99 27.8 22.2627849578857 33.3210220336914 68.0895538330078
ENSG00000004399 55.5 36.4 30.5 8.42 9.63 13.0112600326538 2.73344206809998 3.13475131988525
ENSG00000004455 70.4 25.7 129.2 0 0 12.9040899276733 7.20773649215698 9.86448764801025
ENSG00000004468 1.6 14.5 0.9 0.61 0.55 0.0334294438362122 2.82849383354187 4.08395195007324
ENSG00000004478 25.4 45.2 60.3 24.49 75.74 28.0035839080811 20.2976760864258 15.5165634155273
ENSG00000004487 17.5 20.3 21 8.16 18.81 19.5347785949707 18.1815967559814 14.1874799728394
ENSG00000004534 43.1 48.7 35.7 8.25 9.28 116.587921142578 16.8843803405762 9.07773208618164
ENSG00000004660 4.3 27.4 1.6 1.53 28.95 4.27389717102051 42.4033203125 0.391621917486191
ENSG00000004700 23.3 9.5 15.5 4.6 2.65 4.2084379196167 5.60699892044067 9.18868350982666
ENSG00000004766 7.6 15.8 11.8 0.74 1.15 3.15887546539307 10.5096883773804 5.85937786102295
ENSG00000004776 377 10.1 10 750.6 44.34 352.133361816406 11.2231788635254 371.334655761719
ENSG00000004777 3.6 20.9 5.2 0 6.6 35.5288543701172 20.7591648101807 0.601146161556244
ENSG00000004779 203.9 54.1 91.4 144.11 48.59 13.7044944763184 29.2768669128418 31.4373207092285
ENSG00000004799 36.2 14.1 80.4 423.14 11.77 269.813720703125 66.3762512207031 2521.97290039062
ENSG00000004809 0.1 0 0.1 0.22 0.15 0.0166926775127649 0.0736437365412712 0
ENSG00000004838 0.3 1 1.6 0.08 0.2 0.779309093952179 4.22781419754028 0.0627486109733582
ENSG00000004846 0 0 0 0.17 0 0.00341805862262845 0 0.0701801106333733
ENSG00000004848 0 3.1 0 0 4.65 23.4226779937744 4.23309850692749 1.3835711479187
ENSG00000004864 6.4 7.6 27.1 2.28 2.11 6.14673089981079 3.10346937179565 3.11359715461731
ENSG00000004866 14.7 15.1 23.3 6.68 8.87 5.59031343460083 4.20926427841187 1.54230654239655
ENSG00000004897 22.1 22.8 15.7 5.29 7.31 6.75326490402222 13.561128616333 9.4871997833252
ENSG00000004948 0.1 0.1 1.8 0.1 0 0 0.0172676537185907 0.136617690324783
ENSG00000004961 38 12.6 19.4 19.52 11.73 4.47851800918579 8.50189876556396 17.8899192810059
ENSG00000004975 12.8 15.5 13.5 5.74 6.39 25.7706317901611 6.91860294342041 2.87758040428162
ENSG00000005001 0 0.1 4.4 0 0 0 0.0951869785785675 0
ENSG00000005007 13 14.9 23.3 9.79 21.31 21.1373996734619 13.8498344421387 12.6795015335083
ENSG00000005020 5.7 14.2 24.9 1.91 3.73 4.53989553451538 5.35491895675659 2.10502767562866
ENSG00000005022 156 92.7 365.3 60.54 123.58 81.7122421264648 70.7827529907227 11.6739273071289
ENSG00000005059 4.6 4.1 1.5 2.72 2.14 7.37882041931152 1.7862811088562 0.514207482337952
ENSG00000005100 4.2 8.4 4.4 1.61 3.62 3.55538988113403 5.93815422058105 3.92307949066162
ENSG00000005102 18.1 0 0.1 2.7 0 0.128574311733246 0.00368335261009634 1.43994963169098
ENSG00000005108 0.8 3.3 9.8 0.28 1.49 0.412861049175262 2.73676657676697 0.240480199456215
ENSG00000005156 8 8.6 6.4 2.46 5.12 7.19450426101685 4.05073308944702 2.57067775726318
ENSG00000005175 13.1 13.2 13.6 4.21 4.76 6.40105104446411 9.51894092559814 13.6532497406006
ENSG00000005187 6.3 0.2 85.1 0.05 0.1 45.1613006591797 0.0722343847155571 0.0202865749597549
ENSG00000005189 2.7 2.5 1.2 0.42 1.11 1.27895379066467 2.88561630249023 0.569559276103973
ENSG00000005194 23.6 19.5 21.6 3.47 25.02 7.50513505935669 13.2227792739868 14.716516494751
ENSG00000005238 12.2 11.1 8.5 4.12 2.55 2.87290000915527 7.24584579467773 2.29155540466309
ENSG00000005243 40.8 7.3 16.7 20.79 4.46 3.96404933929443 3.06102395057678 19.8343448638916
ENSG00000005249 20.8 27.8 9.1 8.21 23.14 13.5012702941895 54.8650016784668 0.981707692146301
ENSG00000005302 10.2 18.9 11.4 2.03 3.14 4.8223614692688 6.45649576187134 5.43107032775879
ENSG00000005339 10.8 12.9 13 5.14 6.17 18.2167472839355 6.2818431854248 7.39622926712036
ENSG00000005379 9.9 38.5 14.5 1.23 9.37 29.3526782989502 26.729829788208 1.33936882019043
ENSG00000005381 0.3 0.8 0 0 0.31 0.0334471128880978 1.11422801017761 0.608256578445435
ENSG00000005421 0 0.6 0.6 0.04 0.04 0.88712990283966 0.232963442802429 0.101192712783813
ENSG00000005436 7.1 4.9 10.5 0.78 0.77 4.39802551269531 5.29388380050659 8.34717559814453
ENSG00000005448 3.4 12.6 11.1 1.56 11.62 11.198769569397 20.2254848480225 0.377141863107681
ENSG00000005469 5.6 8.6 15.5 1.25 0.75 2.58928322792053 6.14734315872192 3.76607322692871
ENSG00000005471 5 0.5 1.7 0.5 0 0.175668329000473 0.10583022236824 0.41372686624527
ENSG00000005486 23.9 110.2 50 8.4 99.66 31.323392868042 142.736938476562 6.23442077636719
ENSG00000005513 1 51 0.2 0.17 31.83 0.928785383701324 24.4774379730225 0.0639216750860214
ENSG00000005700 16.8 14.6 19 3.55 2.77 8.01380252838135 13.5743255615234 16.2886848449707
ENSG00000005801 6.8 13 10.1 0.54 4.49 2.14672350883484 6.99883222579956 3.26119613647461
ENSG00000005810 13.8 41 17 2.11 6.32 9.89412117004395 17.4509925842285 4.94640684127808
ENSG00000005812 19.1 24.5 29.6 7.37 9.29 15.5848112106323 16.8967571258545 14.5166082382202
ENSG00000005844 1.8 2.2 2.3 0.51 0.28 0.510152280330658 0.118073299527168 0.162739798426628
ENSG00000005882 113 42.6 95.4 41.86 31.57 8.6779670715332 29.9365768432617 21.009557723999
ENSG00000005884 9.8 6.3 32.7 3.11 3.17 8.6223497390747 5.17776250839233 1.09183430671692
ENSG00000005889 8 7.6 8.4 0.79 1.09 8.28359699249268 2.92593669891357 5.4824686050415
ENSG00000005893 42.2 111.9 127.8 9.82 59.02 13.8798913955688 37.1301345825195 32.7402038574219
ENSG00000005955 26.7 30.8 30.8 11.8 20.17 39.1928100585938 33.8503303527832 25.3095149993896
ENSG00000005961 0.8 2 0.8 0 0.78 2.27527594566345 0.90847259759903 0.0455324687063694
ENSG00000005981 1.5 0.4 0.2 0.62 0.32 0.178646087646484 1.05013144016266 4.69079351425171
ENSG00000006007 67.7 49.1 39.1 25.76 20.15 6.6582088470459 31.2398204803467 24.139253616333
ENSG00000006016 10.4 12.7 3.2 4.81 10.56 0.280940890312195 13.1634941101074 2.28930282592773
ENSG00000006025 4.6 7.2 5.3 0.32 1.45 11.8920211791992 5.87658309936523 1.82601153850555
ENSG00000006042 22 27.1 29.9 4.06 19.97 69.6460266113281 13.9612274169922 1.54121887683868
ENSG00000006047 0.6 0.9 1.6 0.3 1.23 0.0831562876701355 0.0786136835813522 0.288120031356812
ENSG00000006059 0 0 0 0 0 0 0 0
ENSG00000006071 3.1 10.2 1.2 0.12 3.33 0.625403106212616 10.0929203033447 0.269885629415512
