ENSG_ID	HPA_heart	HPA_brain	HPA_kidney
1	ENSG00000000003	6.7	11.8	44.4
2	ENSG00000000005	0.9	0.2	1.2
3	ENSG00000000419	42.6	21.4	34.3
4	ENSG00000000457	4.3	4.6	6.8
5	ENSG00000000460	1.3	1.7	1.8
6	ENSG00000000938	2.7	2.4	2.4
7	ENSG00000000971	86.8	7.8	19.3
8	ENSG00000001036	30.2	12.6	53.9
9	ENSG00000001084	11.9	26.5	22.7
10	ENSG00000001167	5.5	10.9	8.2
11	ENSG00000001460	3	6.9	5.5
12	ENSG00000001461	12.9	42.1	15.7
13	ENSG00000001497	10.1	18.1	15.4
14	ENSG00000001561	12	20	16.7
15	ENSG00000001617	7.3	1.3	14.1
16	ENSG00000001626	0.1	0.9	1
17	ENSG00000001629	8.8	22.5	23.8
18	ENSG00000001630	9.7	36.1	20
19	ENSG00000001631	20	19.5	19.9
20	ENSG00000002016	3.7	7.2	6.7
21	ENSG00000002330	26.9	26.3	33.4
22	ENSG00000002549	49	36.7	85.8
23	ENSG00000002586	140.7	66.7	44.1
24	ENSG00000002587	0.5	1.2	1.5
25	ENSG00000002726	0.4	0.1	159
26	ENSG00000002745	0	0.3	0.1
27	ENSG00000002746	0	6.6	18.7
28	ENSG00000002822	9.3	8	7
29	ENSG00000002834	17.9	38.3	43.3
30	ENSG00000002919	7.9	10.7	13
31	ENSG00000002933	44.6	12.9	237.9
32	ENSG00000003056	57.5	43.5	58.8
33	ENSG00000003096	7	4.9	11.4
34	ENSG00000003137	4	5.9	6.3
35	ENSG00000003147	41.1	18.6	15.7
36	ENSG00000003249	2.4	14.2	5.8
37	ENSG00000003393	17.4	12.1	11
38	ENSG00000003400	3.3	1.5	5
39	ENSG00000003402	83.9	16.1	48.5
40	ENSG00000003436	25.8	4	42.4
41	ENSG00000003509	15.1	7.5	10.6
42	ENSG00000003756	48.2	62.2	50.5
43	ENSG00000003987	0.4	14.4	1.1
44	ENSG00000003989	9.1	7.2	6.7
45	ENSG00000004059	78.3	92.2	77.9
46	ENSG00000004139	5	10.6	6.3
47	ENSG00000004142	79.7	38.1	76.6
48	ENSG00000004399	55.5	36.4	30.5
49	ENSG00000004455	70.4	25.7	129.2
50	ENSG00000004468	1.6	14.5	0.9
51	ENSG00000004478	25.4	45.2	60.3
52	ENSG00000004487	17.5	20.3	21
53	ENSG00000004534	43.1	48.7	35.7
54	ENSG00000004660	4.3	27.4	1.6
55	ENSG00000004700	23.3	9.5	15.5
56	ENSG00000004766	7.6	15.8	11.8
57	ENSG00000004776	377	10.1	10
58	ENSG00000004777	3.6	20.9	5.2
59	ENSG00000004779	203.9	54.1	91.4
60	ENSG00000004799	36.2	14.1	80.4
61	ENSG00000004809	0.1	0	0.1
62	ENSG00000004838	0.3	1	1.6
63	ENSG00000004846	0	0	0
64	ENSG00000004848	0	3.1	0
65	ENSG00000004864	6.4	7.6	27.1
66	ENSG00000004866	14.7	15.1	23.3
67	ENSG00000004897	22.1	22.8	15.7
68	ENSG00000004939	0	0	49.8
69	ENSG00000004948	0.1	0.1	1.8
70	ENSG00000004961	38	12.6	19.4
71	ENSG00000004975	12.8	15.5	13.5
72	ENSG00000005001	0	0.1	4.4
