HPA_heart HPA_brain HPA_kidney AltIso_heart AltIso_brain GTEx_heart GTEx_brain GTEx_kidney Atlas_heart Atlas_brain Atlas_kidney
ENSG00000000003 6.7 11.8 44.4 2.51 2.41 4.15468311309814 5.41635084152222 11.2788972854614 2.748 4.999 14.768
ENSG00000000005 0.9 0.2 1.2 0.31 0 0.13058939576149 0.037490326911211 0.257256776094437 0.028 0.225 0.536
ENSG00000000419 42.6 21.4 34.3 7.79 3.65 29.3164005279541 14.4522581100464 16.0675468444824 17.235 11.219 11.351
ENSG00000000457 4.3 4.6 6.8 1.09 0.9 3.20295095443726 1.39823114871979 3.11452960968018 4.377 4.756 7.018
ENSG00000000460 1.3 1.7 1.8 0.09 0.05 0.443127453327179 0.452870666980743 0.391355216503143 0.177 0.135 0.187
ENSG00000000938 2.7 2.4 2.4 1.92 1.19 0.599603235721588 6.34310722351074 2.25039577484131 1.21 0.278 0.227
ENSG00000000971 86.8 7.8 19.3 9.55 1.09 11.3457221984863 10.9768114089966 12.0660982131958 102.111 11.684 14.644
ENSG00000001036 30.2 12.6 53.9 60.25 24.75 14.2751569747925 9.8015375137329 11.873966217041 2.401 2.332 4.202
ENSG00000001084 11.9 26.5 22.7 4 13.52 3.82934761047363 6.66666269302368 9.92484474182129 1.47 2.967 2.884
ENSG00000001167 5.5 10.9 8.2 2.02 4.49 2.25960230827332 2.22990345954895 4.10153484344482 3.007 4.713 3.801
ENSG00000001460 3 6.9 5.5 1.26 14.03 1.1967339515686 2.61599683761597 1.94566643238068 0.224 1.682 0.474
ENSG00000001461 12.9 42.1 15.7 9 29.7 3.22963905334473 22.252384185791 3.2601203918457 2.722 15.261 3.705
ENSG00000001497 10.1 18.1 15.4 5.25 5.42 4.95997858047485 16.4479160308838 4.68181180953979 3.132 3.798 5.463
ENSG00000001617 7.3 1.3 14.1 4.63 1.46 2.74135184288025 3.10195446014404 16.268913269043 0.191 0.14 0.422
ENSG00000001626 0.1 0.9 1 0.07 0.15 0.0538547486066818 0.117797486484051 1.76522934436798 0.03 0.043 0.366
ENSG00000001629 8.8 22.5 23.8 4.3 10.97 4.66357135772705 10.2418756484985 4.22343826293945 3.762 8.499 6.555
ENSG00000001630 9.7 36.1 20 4.43 43.5 0.538038551807404 3.80216884613037 6.37869310379028 23.066 54.265 35.836
ENSG00000002016 3.7 7.2 6.7 0.44 0.46 2.34929895401001 2.39897179603577 2.46952486038208 0.879 0.78 1.63
ENSG00000002330 26.9 26.3 33.4 14.12 9.17 9.2525281906128 9.72080707550049 16.812801361084 0.276 1.962 0.995
ENSG00000002549 49 36.7 85.8 28.17 26.12 19.1082954406738 17.1570453643799 54.755256652832 25.078 35.869 35.51
ENSG00000002726 0.4 0.1 159 0 0 0 0.0105229131877422 23.1691188812256 0.038 0.328 23.222
ENSG00000002745 0 0.3 0.1 0 0.23 0.0322368815541267 0.0493586249649525 0.0672412067651749 0.125 0.936 0.118
ENSG00000002746 0 6.6 18.7 0 9.13 0 0.866590201854706 1.85577237606049 0 3.285 2.006
ENSG00000002822 9.3 8 7 3.3 7.01 1.48381423950195 2.11504316329956 1.90288078784943 3.032 4.694 4.101
ENSG00000002834 17.9 38.3 43.3 14.32 43.41 11.8826522827148 26.0227088928223 49.5533485412598 7.637 6.918 12.091
ENSG00000002919 7.9 10.7 13 3.43 5.55 5.75546646118164 9.78034687042236 11.6816558837891 0.87 1.479 1.117
ENSG00000002933 44.6 12.9 237.9 31.18 14.73 5.20852613449097 15.6649703979492 285.046813964844 3.071 1.752 23.578
ENSG00000003056 57.5 43.5 58.8 35.08 41.62 8.53000450134277 5.78615760803223 14.0196733474731 16.287 18.667 17.823
ENSG00000003096 7 4.9 11.4 1.35 1.16 2.05642318725586 1.18131494522095 2.57314229011536 2.543 8.934 19.319
ENSG00000003137 4 5.9 6.3 0.35 8.11 0.368931323289871 0.758254051208496 5.69863557815552 0.202 0.602 0.409
ENSG00000003147 41.1 18.6 15.7 8.02 3.27 11.3230581283569 4.88755655288696 5.4061336517334 17.773 9.132 6.239
ENSG00000003249 2.4 14.2 5.8 1.84 31.2 1.13500714302063 8.85044002532959 7.51818037033081 0.462 4.291 1.341
ENSG00000003400 3.3 1.5 5 0.3 0 3.4831907749176 2.22015833854675 2.86149978637695 4.322 1.716 5.044
ENSG00000003402 83.9 16.1 48.5 41.14 7.45 31.9136848449707 4.47546100616455 7.05489873886108 133.952 29.24 68.272
ENSG00000003436 25.8 4 42.4 14.18 1.3 6.1484112739563 1.06163024902344 11.6939716339111 40.332 3.119 39.301
ENSG00000003509 15.1 7.5 10.6 4.19 1.44 9.176118850708 4.4928560256958 4.88306999206543 11.921 10.908 7.813
ENSG00000003756 48.2 62.2 50.5 12.84 11.66 35.233268737793 38.3604965209961 29.1031360626221 18.828 29.246 21.173
ENSG00000003987 0.4 14.4 1.1 0.08 5.96 0.00413387594744563 1.37666022777557 0.1245491579175 0.233 2.802 0.484
ENSG00000003989 9.1 7.2 6.7 4.42 0.44 6.67982482910156 0.753379285335541 4.7032322883606 18.715 3.712 4.787
ENSG00000004059 78.3 92.2 77.9 50.35 164.03 28.8101119995117 33.3184051513672 57.4705619812012 2.078 2.828 3.185
ENSG00000004142 79.7 38.1 76.6 52.99 27.8 78.9183807373047 23.9291191101074 80.8982009887695 1.96 2.563 2.802
ENSG00000004455 70.4 25.7 129.2 0 0 12.8248052597046 10.9041347503662 31.1325244903564 18.511 7.795 30.71
ENSG00000004468 1.6 14.5 0.9 0.61 0.55 0.660845816135406 0.595197737216949 0.22523258626461 5.351 6.048 0.348
ENSG00000004478 25.4 45.2 60.3 24.49 75.74 19.6827564239502 28.9089622497559 38.548999786377 3.34 5.918 5.475
ENSG00000004487 17.5 20.3 21 8.16 18.81 11.7557220458984 13.0225124359131 13.629711151123 10.678 22.846 10.688
ENSG00000004534 43.1 48.7 35.7 8.25 9.28 28.8812446594238 23.9796466827393 24.4208927154541 42.919 40.171 53.105
ENSG00000004700 23.3 9.5 15.5 4.6 2.65 8.01226139068604 3.41916489601135 4.15078067779541 8.335 4.678 5.32
ENSG00000004766 7.6 15.8 11.8 0.74 1.15 4.78784656524658 4.90544843673706 4.13097906112671 5.09 12.478 7.724
ENSG00000004776 377 10.1 10 750.6 44.34 430.43310546875 21.6388053894043 26.5124893188477 450.107 19.322 20.043
ENSG00000004779 203.9 54.1 91.4 144.11 48.59 123.205871582031 33.3485832214355 32.6626281738281 23.561 13.065 10.98
ENSG00000004799 36.2 14.1 80.4 423.14 11.77 141.227600097656 27.5453090667725 204.047073364258 268.449 7.148 42.158
ENSG00000004809 0.1 0 0.1 0.22 0.15 0 0.0583798252046108 0.0514138378202915 0.038 0 0.009
ENSG00000004838 0.3 1 1.6 0.08 0.2 0.17599718272686 1.16599023342133 0.807940900325775 0 0.043 0.052
ENSG00000004864 6.4 7.6 27.1 2.28 2.11 3.70511388778687 5.2114315032959 14.1170568466187 2.911 3.175 13.532
ENSG00000004866 14.7 15.1 23.3 6.68 8.87 5.6857533454895 2.68719029426575 4.36556196212769 1.833 1.539 2.654
ENSG00000004897 22.1 22.8 15.7 5.29 7.31 8.40128135681152 7.8935580253601 4.71225738525391 8.62 8.916 5.972
ENSG00000004948 0.1 0.1 1.8 0.1 0 0.0104032130911946 1.95623087882996 0.207953661680222 0.03 0.898 0.731
ENSG00000004961 38 12.6 19.4 19.52 11.73 19.7868099212646 3.92056250572205 9.11422634124756 27.625 14.765 13.265
ENSG00000004975 12.8 15.5 13.5 5.74 6.39 4.81875705718994 4.7698917388916 13.6681156158447 1.508 1.294 1.691
ENSG00000005001 0 0.1 4.4 0 0 0 0.0240093190222979 5.83653831481934 0 0 0.04
ENSG00000005007 13 14.9 23.3 9.79 21.31 11.1399669647217 11.2496252059937 22.9777698516846 1.35 1.935 2.113
ENSG00000005020 5.7 14.2 24.9 1.91 3.73 1.19868266582489 4.07596302032471 7.59572410583496 2.601 5.068 7.267
ENSG00000005022 156 92.7 365.3 60.54 123.58 84.0169906616211 70.7591400146484 308.958129882812 14.814 16.206 41.728
ENSG00000005059 4.6 4.1 1.5 2.72 2.14 1.50989580154419 2.82764887809753 1.08178734779358 1.741 1.309 0.364
ENSG00000005100 4.2 8.4 4.4 1.61 3.62 2.72932052612305 3.2047643661499 2.75529074668884 0.693 1.559 1.059
ENSG00000005102 18.1 0 0.1 2.7 0 6.77270269393921 0.0148650240153074 0.0180005393922329 5.708 0 0.026
ENSG00000005108 0.8 3.3 9.8 0.28 1.49 0.391079366207123 1.07990837097168 1.89165008068085 0.835 2.41 4.001
ENSG00000005156 8 8.6 6.4 2.46 5.12 3.27571654319763 3.16880440711975 4.22156429290771 5.978 8.406 6.204
ENSG00000005175 13.1 13.2 13.6 4.21 4.76 8.00728702545166 4.7210955619812 3.44173312187195 11.525 15.573 9.568
ENSG00000005187 6.3 0.2 85.1 0.05 0.1 2.09828758239746 0.0502618290483952 9.26649570465088 0.473 0 12.011
ENSG00000005189 2.7 2.5 1.2 0.42 1.11 1.69192564487457 0.609016001224518 0.512636601924896 1.339 1.306 0.333
ENSG00000005194 23.6 19.5 21.6 3.47 25.02 20.302339553833 12.256272315979 25.2229175567627 0.664 0.774 1.066
ENSG00000005243 40.8 7.3 16.7 20.79 4.46 21.3215198516846 8.28863525390625 9.30826568603516 6.008 2.224 3.449
ENSG00000005249 20.8 27.8 9.1 8.21 23.14 6.33960437774658 8.1960973739624 1.68706715106964 5.647 11.56 2.294
ENSG00000005302 10.2 18.9 11.4 2.03 3.14 3.66055083274841 4.84286594390869 3.16737127304077 12.449 18.124 7.891
ENSG00000005339 10.8 12.9 13 5.14 6.17 6.12750434875488 3.93585133552551 6.04684352874756 6.024 6.611 6.386
ENSG00000005379 9.9 38.5 14.5 1.23 9.37 5.287672996521 8.24629497528076 4.44619035720825 0.324 12.283 0.996
ENSG00000005381 0.3 0.8 0 0 0.31 0.015875032171607 0.467902541160583 0.0367921032011509 0.104 0.189 0.029
ENSG00000005421 0 0.6 0.6 0.04 0.04 0.0327490530908108 0.399575650691986 0.227698400616646 0.075 0.108 0.106
ENSG00000005436 7.1 4.9 10.5 0.78 0.77 2.47122645378113 2.55113911628723 3.00432944297791 2.077 1.948 2.505
ENSG00000005448 3.4 12.6 11.1 1.56 11.62 1.51977694034576 9.04261112213135 5.54799556732178 0.433 2.438 0.746
ENSG00000005469 5.6 8.6 15.5 1.25 0.75 2.38783407211304 2.03485512733459 4.31645441055298 2.254 3.028 5.904
ENSG00000005471 5 0.5 1.7 0.5 0 1.49172365665436 0.160984769463539 0.119352042675018 2.987 0.609 0.61
ENSG00000005513 1 51 0.2 0.17 31.83 1.16536796092987 42.6679878234863 0.259698659181595 0.012 0.696 0
