Study_labels	Study	Tissue	readlength	Preparation	NumberRaw	Numbermapped	Readtype
HPA_heart	HPA	Heart	200	PolyA	17.7	15.0	Paired
HPA_brain	HPA	Brain	200	PolyA	28.5	22.4	Paired
HPA_kidney	HPA	Kidney	200	PolyA	16.5	13.6	Paired
AltIso_heart	AltIso	Heart	32	PolyA	20.2	16.5	Single
AltIso_brain	AltIso	Brain	32	PolyA	17.2	14.2	Single
GTEx_heart	Gtex	Heart	152	PolyA	158	141	Paired
GTEx_brain	Gtex	Brain	152	PolyA	164	81.4	Paired
GTEx_kidney	Gtex	Kidney	152	PolyA	131	123	Paired
Atlas_heart	RNASeqAtlas	Heart	35	rRNA_depletion	26.9	23.3	Single
Atlas_brain	RNASeqAtlas	Brain	35	rRNA_depletion	31.9	25.1	Single
Atlas_kidney	RNASeqAtlas	Kidney	35	rRNA_depletion	27.2	23.7	Single
