Study	Tissue	readlength	Preparation	NumberRaw	Numbermapped	Readtype
EvolutionOfGeneExpression	Brain	76	PolyA	24.5	17.3	Single
EvolutionOfGeneExpression	Heart	76	PolyA	30.9	17.0	Single
EvolutionOfGeneExpression	Kidney	76	PolyA	22.5	15.8	Single
RNASeqAtlas	Brain	35	rRNA_depletion	31.9	25.1	Single
RNASeqAtlas	Heart	35	rRNA_depletion	26.9	23.3	Single
RNASeqAtlas	Kidney	35	rRNA_depletion	27.2	23.7	Single
BodyMap	Brain	152	PolyA	73.5	71.9	Paired
BodyMap	Heart	152	PolyA	82.9	81.4	Paired
BodyMap	Kidney	152	PolyA	80.4	77.6	Paired
HPA	Brain	200	PolyA	28.5	22.4	Paired
HPA	Heart	200	PolyA	17.7	15.0	Paired
HPA	Kidney	200	PolyA	16.5	13.6	Paired
AltIso	Brain	32	PolyA	17.2	14.2	Single
AltIso	Heart	32	PolyA	20.2	16.5	Single
